parentCompany,count,address,industry,description
US Department Of Defense,268,"100 S Washington Blvd, Arlington VA 22202",,The United States Department of Defense is an executive branch department of the federal government charged with coordinating and supervising all agencies and functions of the government directly related to national security and the United States Armed Forces.
Berkshire Hathaway Inc,191,"3555 Farnam Street Omaha, NE 68131",,Berkshire Hathaway is an American multinational conglomerate holding company.
Cemex Inc,171,"66220 San Pedro Garza García, Nuevo Leon, Mexico",Construction Materials-Cement & Aggregates,Cemex Inc. manufactures cement and ready-mixed concrete. It operates portland cement manufacturing plants and has a network of cement distribution terminals in the United States.
Argos Usa Corp,164,"3015 Windward Plaza, Alpharetta, GA 30005 United States",Construction Materials-Cement & Aggregates,"Argos USA LLC produces and distributes cements and aggregates. It offers portland cement, masonry, block, and ready mix concrete."
Koch Industries Inc,139,"2256 Wichita, KS 67201 United States","Oil, Gas & Coal","Koch Industries, Inc. operates as a diversified holding company. It focuses on renewable fuels, polymers and fibers, minerals, ranching, fertilizers, refining and chemicals, and consumer products business. "
Crh Americas Inc,128,"900 Ashwood Pkwy, Dunwoody, GA 30338",Construction Materials-Cement & Aggregates,"CRH America, Inc. provides construction materials. It offers aggregates, asphalt, cement, and readymixed concrete products."
Clean Harbors Inc,115,"42 Longwater Drive Norwell, MA 02061 United States",Waste Management,"Clean Harbors Environmental Services, Inc. provides hazardous and non-hazardous material management and disposal services. It offers waste disposal and recycling, emergency response, chemical packaging, and field, industrial, oilfield, exploration, lodging, and in-site services."
Tyson Foods Inc,112,"2200 West Don Tyson Parkway Springdale, AR 72762 United States",Consumer Products-Packaged Food,"Tyson Foods, Inc. produces, distributes, and markets chicken, beef, pork, prepared foods, and related allied products. It's products are marketed and sold to national and regional grocery retailers, regional grocery wholesalers, meat distributors, warehouse club stores, military commissaries, and industrial food processing companies."
Marathon Petroleum Corp,90,"539 South Main Street Findlay, OH 45840 United States","Oil, Gas & Coal","Marathon Petroleum Corporation operates as a crude oil refining company. It refines, supplies, markets, and transports petroleum products."
Martin Marietta Materials Inc,90,"2710 Wycliff Road Raleigh, NC 27607 United States",Construction Materials-Cement & Aggregates,"Martin Marietta Materials, Inc. produces aggregates for the construction industry, including highways, infrastructure, commercial, and residential. It also manufactures and markets magnesia-based products, including heat-resistant refractory products for the steel industry, chemical products for industrial and environmental uses, and dolomitic lime."
